6.321459957768263394e+01 4.092999942029695148e+01 1.446411458312147715e+02 1.936593438901522859e+02 2.074477444434644440e+02 5.877222108260411915e+01
6.933623820232145363e+01 4.505461276904449619e+01 1.622454932192091519e+02 2.158990301294834353e+02 2.356267238900309167e+02 6.259390532951215391e+01
7.090440115410598310e+01 4.604962866465413640e+01 1.655089207062782179e+02 2.203783453069825100e+02 2.400968435263307583e+02 6.429055214611577185e+01
7.119358750255099721e+01 4.626374092337658794e+01 1.666539790641616037e+02 2.217445422562426529e+02 2.421079207080906599e+02 6.422933169349204263e+01
4.832315425222697058e+01 3.132965862539228397e+01 1.113517099596328990e+02 1.488001852824986599e+02 1.602036642818013661e+02 4.448052222348798068e+01
8.721380864099415930e+01 5.666685055701523765e+01 2.041119916797385940e+02 2.715936971578067869e+02 2.965560748873073180e+02 7.877584905564799556e+01
4.154843099965131614e+01 2.694691977345522105e+01 9.592197177121772711e+01 1.281185184826970271e+02 1.381518153448614612e+02 3.811677291577882443e+01
7.828801276868313153e+01 5.089609366582200778e+01 1.837056254845529111e+02 2.442736435702004201e+02 2.671889886310399334e+02 7.039145159102974958e+01
8.323414544313482111e+01 5.408184306841042144e+01 1.947056819281098115e+02 2.591177145113948654e+02 2.827618575829625343e+02 7.515861238607362793e+01
5.438000808881974990e+01 3.529263170013874173e+01 1.262881675075094563e+02 1.683959506503086914e+02 1.826372034175983572e+02 4.959503786542285297e+01
6.380097486766374004e+01 4.139866093730037733e+01 1.480291616869492373e+02 1.974364034723952273e+02 2.140150857808350793e+02 5.827942767186544870e+01
1.165087274486933779e+02 7.582982974782322572e+01 2.751412435223633111e+02 3.652353228278026336e+02 4.014736157710050293e+02 1.037645891734599957e+02
8.280708905088749816e+01 5.385946339090054380e+01 1.947404534579451365e+02 2.587975491882523329e+02 2.834824316522328900e+02 7.418451154547250326e+01
5.455034110310305095e+01 3.542690843914704146e+01 1.270242594558814062e+02 1.692649098493619704e+02 1.838710074118775992e+02 4.948304040226759071e+01
5.552778160796913198e+01 3.605010796756417335e+01 1.292349313136983255e+02 1.722238944183582134e+02 1.871328748631940471e+02 5.049686857661609451e+01
6.456993788959050562e+01 4.194939332151540157e+01 1.508699632428688346e+02 2.008454112759436612e+02 2.189111944805827079e+02 5.838536714896235935e+01
